Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,rcy1/1/441,49,2,2,0,3,1
32772,32772,rcy1/1/442,49,0,1,0,3,0
32773,32773,rcy1/1/443,49,1,1,0,3,0
32774,32774,rcy1/1/444,49,2,1,0,3,0
32775,32775,rcy1/1/445,49,3,1,0,3,0
32776,32776,evt1/1/506,49,0,2,0,5,0
2,2,eth1/41/1,22-23,2,7,0,4,1
19,19,eth1/1/1,23-24-35-38-39-45,3,2,0,0,1
20,20,eth1/1/5,23-24-38-45,3,7,0,0,1
21,21,eth1/2/1,23-24-35-38-39-45,0,3,0,0,1
22,22,eth1/2/5,23-24-38-45,0,8,0,0,1
3,3,eth1/47/1,50,0,4,0,0,1
4,4,eth1/48/1,50,0,5,0,0,1
5,5,eth1/49/1,50,0,6,0,0,1
6,6,eth1/50/1,50,0,7,0,0,1
7,7,eth1/51/1,50,1,2,0,0,1
8,8,eth1/52/1,50,1,3,0,0,1
9,9,eth1/53/1,50,1,4,0,0,1
10,10,eth1/54/1,50,1,5,0,0,1
11,11,eth1/55/1,50,2,3,0,0,1
12,12,eth1/56/1,50,2,4,0,0,1
13,13,eth1/57/1,50,2,5,0,0,1
14,14,eth1/58/1,50,2,6,0,0,1
15,15,eth1/59/1,50,3,3,0,0,1
16,16,eth1/60/1,50,3,4,0,0,1
17,17,eth1/61/1,50,3,5,0,0,1
18,18,eth1/62/1,50,3,6,0,0,1
1114,1114,fab1/3/1,42,,,0,1,0
1115,1115,fab1/3/2,42,,,0,1,0
1112,1112,fab1/3/3,42,,,0,1,0
1113,1113,fab1/3/4,42,,,0,1,0
1119,1119,fab1/3/5,42,,,0,1,0
1117,1117,fab1/3/6,42,,,0,1,0
1118,1118,fab1/3/7,42,,,0,1,0
1116,1116,fab1/3/8,42,,,0,1,0
1106,1106,fab1/4/1,42,,,0,1,0
1107,1107,fab1/4/2,42,,,0,1,0
1104,1104,fab1/4/3,42,,,0,1,0
1105,1105,fab1/4/4,42,,,0,1,0
1111,1111,fab1/4/5,42,,,0,1,0
1109,1109,fab1/4/6,42,,,0,1,0
